PartNumber,Name,EnrichedFields
KL4069IA1XFS,Kaspersky Next EDR Expert Middle East Edition. 2500-4999 User 1 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4066IAQTS,Kaspersky Next EDR Optimum 50-99 User 3 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4066IAVFS,Kaspersky Next EDR Optimum 1000-1499 User 1 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4065IAQXS,Kaspersky Next XDR Foundations 50-99 User 5 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4069IA1UXS,Kaspersky Next EDR Expert Middle East Edition. 500-999 User 5 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4069IA1WRS,Kaspersky Next EDR Expert Middle East Edition. 1500-2499 User 4 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4069IA1YXS,Kaspersky Next EDR Expert Middle East Edition. 5000+ User 5 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4056IAWTS,Kaspersky Next XDR Core 1500-2499 User 3 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4054IATTS,Kaspersky Next XDR Expert 250-499 User 3 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4054IAWRS,Kaspersky Next XDR Expert 1500-2499 User 4 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4056IAWFS,Kaspersky Next XDR Core 1500-2499 User 1 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4056IAXDS,Kaspersky Next XDR Core 2500-4999 User 2 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4069IA1XTS,Kaspersky Next EDR Expert Middle East Edition. 2500-4999 User 3 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4066IARDS,Kaspersky Next EDR Optimum 100-149 User 2 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4066IATTS,Kaspersky Next EDR Optimum 250-499 User 3 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4054IATFS,Kaspersky Next XDR Expert 250-499 User 1 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4054IAWDS,Kaspersky Next XDR Expert 1500-2499 User 2 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4065IAVDS,Kaspersky Next XDR Foundations 1000-1499 User 2 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4066IAXXS,Kaspersky Next EDR Optimum 2500-4999 User 5 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4054IAWFS,Kaspersky Next XDR Expert 1500-2499 User 1 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4065IAXDS,Kaspersky Next XDR Foundations 2500-4999 User 2 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4054IAXRS,Kaspersky Next XDR Expert 2500-4999 User 4 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4054IAUTS,Kaspersky Next XDR Expert 500-999 User 3 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4065IASRS,Kaspersky Next XDR Foundations 150-249 User 4 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4065IASTS,Kaspersky Next XDR Foundations 150-249 User 3 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4054IAXFS,Kaspersky Next XDR Expert 2500-4999 User 1 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4056IAYFS,Kaspersky Next XDR Core 5000+ User 1 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4069IA1VTS,Kaspersky Next EDR Expert Middle East Edition. 1000-1499 User 3 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4069IA1VXS,Kaspersky Next EDR Expert Middle East Edition. 1000-1499 User 5 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4066IARTS,Kaspersky Next EDR Optimum 100-149 User 3 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4066IARXS,Kaspersky Next EDR Optimum 100-149 User 5 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4066IASDS,Kaspersky Next EDR Optimum 150-249 User 2 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4056IAUFS,Kaspersky Next XDR Core 500-999 User 1 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4065IAURS,Kaspersky Next XDR Foundations 500-999 User 4 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4065IAUTS,Kaspersky Next XDR Foundations 500-999 User 3 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4054IAYRS,Kaspersky Next XDR Expert 5000+ User 4 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4065IAWTS,Kaspersky Next XDR Foundations 1500-2499 User 3 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4065IAWDS,Kaspersky Next XDR Foundations 1500-2499 User 2 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4054IAVDS,Kaspersky Next XDR Expert 1000-1499 User 2 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4056IAYDS,Kaspersky Next XDR Core 5000+ User 2 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4066IASXS,Kaspersky Next EDR Optimum 150-249 User 5 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4065IASDS,Kaspersky Next XDR Foundations 150-249 User 2 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4065IAYTS,Kaspersky Next XDR Foundations 5000+ User 3 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4056IAVFS,Kaspersky Next XDR Core 1000-1499 User 1 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4056IATTS,Kaspersky Next XDR Core 250-499 User 3 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4066IAVDS,Kaspersky Next EDR Optimum 1000-1499 User 2 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4066IAXDS,Kaspersky Next EDR Optimum 2500-4999 User 2 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4066IAVXS,Kaspersky Next EDR Optimum 1000-1499 User 5 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4069IA1WXS,Kaspersky Next EDR Expert Middle East Edition. 1500-2499 User 5 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4065IAUDB,Kaspersky Next XDR Foundations 500-999 User 2 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4066IAXFS,Kaspersky Next EDR Optimum 2500-4999 User 1 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4066IAWFS,Kaspersky Next EDR Optimum 1500-2499 User 1 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4056IAUTS,Kaspersky Next XDR Core 500-999 User 3 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4066IAUFS,Kaspersky Next EDR Optimum 500-999 User 1 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4069IA1TDS,Kaspersky Next EDR Expert Middle East Edition. 250-499 User 2 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4069IA1UDS,Kaspersky Next EDR Expert Middle East Edition. 500-999 User 2 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4054IAUFS,Kaspersky Next XDR Expert 500-999 User 1 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4069IA1XDS,Kaspersky Next EDR Expert Middle East Edition. 2500-4999 User 2 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4065IAQTS,Kaspersky Next XDR Foundations 50-99 User 3 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4066IAYFS,Kaspersky Next EDR Optimum 5000+ User 1 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4065IAVRS,Kaspersky Next XDR Foundations 1000-1499 User 4 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4069IA1VDS,Kaspersky Next EDR Expert Middle East Edition. 1000-1499 User 2 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4065IARXS,Kaspersky Next XDR Foundations 100-149 User 5 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4069IA1XXS,Kaspersky Next EDR Expert Middle East Edition. 2500-4999 User 5 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4066IARRS,Kaspersky Next EDR Optimum 100-149 User 4 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4065IAVTS,Kaspersky Next XDR Foundations 1000-1499 User 3 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4069IA1YTS,Kaspersky Next EDR Expert Middle East Edition. 5000+ User 3 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4066IASFS,Kaspersky Next EDR Optimum 150-249 User 1 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4066IATXS,Kaspersky Next EDR Optimum 250-499 User 5 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4066IAURS,Kaspersky Next EDR Optimum 500-999 User 4 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
