PartNumber,Name,EnrichedFields
KL4069IA1URS,Kaspersky Next EDR Expert Middle East Edition. 500-999 User 4 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4069IA1XFS,Kaspersky Next EDR Expert Middle East Edition. 2500-4999 User 1 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4066IAQTS,Kaspersky Next EDR Optimum 50-99 User 3 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4066IATFS,Kaspersky Next EDR Optimum 250-499 User 1 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4066IAVFS,Kaspersky Next EDR Optimum 1000-1499 User 1 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4066IAXRS,Kaspersky Next EDR Optimum 2500-4999 User 4 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4065IAQXS,Kaspersky Next XDR Foundations 50-99 User 5 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4069IA1UXS,Kaspersky Next EDR Expert Middle East Edition. 500-999 User 5 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4065IASXS,Kaspersky Next XDR Foundations 150-249 User 5 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4065IAUXS,Kaspersky Next XDR Foundations 500-999 User 5 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4065IAWXS,Kaspersky Next XDR Foundations 1500-2499 User 5 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4056IATFS,Kaspersky Next XDR Core 250-499 User 1 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4069IA1WFS,Kaspersky Next EDR Expert Middle East Edition. 1500-2499 User 1 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4069IA1WRS,Kaspersky Next EDR Expert Middle East Edition. 1500-2499 User 4 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4056IAWDS,Kaspersky Next XDR Core 1500-2499 User 2 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4069IA1YXS,Kaspersky Next EDR Expert Middle East Edition. 5000+ User 5 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4056IAWTS,Kaspersky Next XDR Core 1500-2499 User 3 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4054IATTS,Kaspersky Next XDR Expert 250-499 User 3 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4054IAWRS,Kaspersky Next XDR Expert 1500-2499 User 4 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4056IAWFS,Kaspersky Next XDR Core 1500-2499 User 1 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4056IAXDS,Kaspersky Next XDR Core 2500-4999 User 2 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4069IA1XTS,Kaspersky Next EDR Expert Middle East Edition. 2500-4999 User 3 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4065IARDS,Kaspersky Next XDR Foundations 100-149 User 2 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4069IA1UTS,Kaspersky Next EDR Expert Middle East Edition. 500-999 User 3 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4065IAYDS,Kaspersky Next XDR Foundations 5000+ User 2 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4065IATDS,Kaspersky Next XDR Foundations 250-499 User 2 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4069IA1YDS,Kaspersky Next EDR Expert Middle East Edition. 5000+ User 2 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4056IAUDS,Kaspersky Next XDR Core 500-999 User 2 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4069IA1XRS,Kaspersky Next EDR Expert Middle East Edition. 2500-4999 User 4 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4066IAQXS,Kaspersky Next EDR Optimum 50-99 User 5 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4066IAWTS,Kaspersky Next EDR Optimum 1500-2499 User 3 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4066IAYTS,Kaspersky Next EDR Optimum 5000+ User 3 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4066IAYXS,Kaspersky Next EDR Optimum 5000+ User 5 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4065IAQDS,Kaspersky Next XDR Foundations 50-99 User 2 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4066IARDS,Kaspersky Next EDR Optimum 100-149 User 2 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4066IATTS,Kaspersky Next EDR Optimum 250-499 User 3 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4054IATFS,Kaspersky Next XDR Expert 250-499 User 1 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4066IAVTS,Kaspersky Next EDR Optimum 1000-1499 User 3 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4054IATRS,Kaspersky Next XDR Expert 250-499 User 4 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4054IAWDS,Kaspersky Next XDR Expert 1500-2499 User 2 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4065IAVDS,Kaspersky Next XDR Foundations 1000-1499 User 2 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4066IAXXS,Kaspersky Next EDR Optimum 2500-4999 User 5 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4054IAWFS,Kaspersky Next XDR Expert 1500-2499 User 1 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4065IARFS,Kaspersky Next XDR Foundations 100-149 User 1 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4065IAXDS,Kaspersky Next XDR Foundations 2500-4999 User 2 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4054IAUTS,Kaspersky Next XDR Expert 500-999 User 3 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4065IASRS,Kaspersky Next XDR Foundations 150-249 User 4 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4054IAVFS,Kaspersky Next XDR Expert 1000-1499 User 1 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4065IASTS,Kaspersky Next XDR Foundations 150-249 User 3 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4054IAXFS,Kaspersky Next XDR Expert 2500-4999 User 1 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4056IAYFS,Kaspersky Next XDR Core 5000+ User 1 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4056IAYTS,Kaspersky Next XDR Core 5000+ User 3 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4065IAXRS,Kaspersky Next XDR Foundations 2500-4999 User 4 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4069IA1VTS,Kaspersky Next EDR Expert Middle East Edition. 1000-1499 User 3 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4069IA1VXS,Kaspersky Next EDR Expert Middle East Edition. 1000-1499 User 5 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4069IA1YFS,Kaspersky Next EDR Expert Middle East Edition. 5000+ User 1 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4069IA1YRS,Kaspersky Next EDR Expert Middle East Edition. 5000+ User 4 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4066IARTS,Kaspersky Next EDR Optimum 100-149 User 3 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4066IARXS,Kaspersky Next EDR Optimum 100-149 User 5 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4066IASDS,Kaspersky Next EDR Optimum 150-249 User 2 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4056IAUFS,Kaspersky Next XDR Core 500-999 User 1 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4065IAURS,Kaspersky Next XDR Foundations 500-999 User 4 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4065IAUTS,Kaspersky Next XDR Foundations 500-999 User 3 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4054IAYRS,Kaspersky Next XDR Expert 5000+ User 4 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4065IAXTS,Kaspersky Next XDR Foundations 2500-4999 User 3 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4065IAXXS,Kaspersky Next XDR Foundations 2500-4999 User 5 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4065IAWRS,Kaspersky Next XDR Foundations 1500-2499 User 4 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4065IAWTS,Kaspersky Next XDR Foundations 1500-2499 User 3 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4065IAVXS,Kaspersky Next XDR Foundations 1000-1499 User 5 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4065IAWDS,Kaspersky Next XDR Foundations 1500-2499 User 2 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4054IAVDS,Kaspersky Next XDR Expert 1000-1499 User 2 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4054IAYTS,Kaspersky Next XDR Expert 5000+ User 3 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4056IAXTS,Kaspersky Next XDR Core 2500-4999 User 3 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4056IAYDS,Kaspersky Next XDR Core 5000+ User 2 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4066IASXS,Kaspersky Next EDR Optimum 150-249 User 5 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4066IATDS,Kaspersky Next EDR Optimum 250-499 User 2 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4065IASDS,Kaspersky Next XDR Foundations 150-249 User 2 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4065IAYRS,Kaspersky Next XDR Foundations 5000+ User 4 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4065IAYTS,Kaspersky Next XDR Foundations 5000+ User 3 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
KL4065IAYXS,Kaspersky Next XDR Foundations 5000+ User 5 year Base License,"shortDescription, features, specs, faq, whyBuy, category, tags, seoKeywords, prerequisites, related, productRule/scope, categoryRule"
